time,model,id,battery_ok,temperature_C,humidity,wind_avg_km_h,wind_dir_deg
2022-09-24 17:00:23,LaCrosse-TX141W,100412,1,21.0,71,20.7,0
2022-09-24 17:00:54,LaCrosse-TX141W,100412,1,20.9,72,21.2,0
