time,model,id,battery_ok,temperature_C,humidity,wind_avg_km_h,wind_dir_deg
2022-09-24 17:02:29,LaCrosse-TX141W,100412,1,20.6,73,17.9,0
2022-09-24 17:03:00,LaCrosse-TX141W,100412,1,20.8,73,5.5,0
