time,model,id,battery_ok,temperature_C,humidity,wind_avg_km_h,wind_dir_deg
2022-09-24 17:01:26,LaCrosse-TX141W,100412,1,20.7,72,20.1,0
2022-09-24 17:01:57,LaCrosse-TX141W,100412,1,20.7,73,21.0,0
